symbol,date,price_mult,source
VISESHINFO,2016-05-04,2.0,heuristic
BIRLACOT,2016-05-05,2.0,heuristic
BIRLACOT,2016-05-11,0.5,heuristic
BIRLACOT,2016-05-12,2.0,heuristic
BIRLACOT,2016-05-13,0.5,heuristic
VKSPL,2016-05-17,0.5,heuristic
BIRLACOT,2016-05-18,2.0,heuristic
VKSPL,2016-05-18,2.0,heuristic
BIRLACOT,2016-05-19,0.5,heuristic
BIRLACOT,2016-05-20,2.0,heuristic
BIRLACOT,2016-05-23,0.5,heuristic
VKSPL,2016-05-24,0.5,heuristic
BIRLACOT,2016-05-26,2.0,heuristic
BIRLACOT,2016-05-27,0.5,heuristic
VKSPL,2016-05-27,2.0,heuristic
VKSPL,2016-05-30,0.5,heuristic
BIRLACOT,2016-05-31,2.0,heuristic
VKSPL,2016-05-31,2.0,heuristic
BIRLACOT,2016-06-01,0.5,heuristic
BIRLACOT,2016-06-02,2.0,heuristic
NBCC,2016-06-02,0.2,heuristic
BIRLACOT,2016-06-03,0.5,heuristic
BIRLACOT,2016-06-06,2.0,heuristic
LUXIND,2016-06-06,0.2,heuristic
BIRLACOT,2016-06-08,0.5,heuristic
VISESHINFO,2016-06-08,2.0,heuristic
BIRLACOT,2016-06-09,2.0,heuristic
VISESHINFO,2016-06-09,0.5,heuristic
VISESHINFO,2016-06-10,2.0,heuristic
BIRLACOT,2016-06-13,0.5,heuristic
VISESHINFO,2016-06-13,0.5,heuristic
BIRLACOT,2016-06-14,2.0,heuristic
VISESHINFO,2016-06-14,2.0,heuristic
VISESHINFO,2016-06-15,0.5,heuristic
VISESHINFO,2016-06-17,2.0,heuristic
BIRLACOT,2016-06-21,0.5,heuristic
VISESHINFO,2016-06-21,0.5,heuristic
VISESHINFO,2016-06-23,2.0,heuristic
BIRLACOT,2016-06-24,2.0,heuristic
VISESHINFO,2016-06-29,0.5,heuristic
BIRLACOT,2016-06-30,0.5,heuristic
BIRLACOT,2016-07-01,2.0,heuristic
ITC,2016-07-01,0.7,yfinance
VISESHINFO,2016-07-01,2.0,heuristic
VKSPL,2016-07-11,0.5,heuristic
VKSPL,2016-07-12,2.0,heuristic
BPCL,2016-07-13,0.5,yfinance
SOLARINDS,2016-07-13,0.2,yfinance
VKSPL,2016-07-14,0.5,heuristic
BERGEPAINT,2016-07-15,0.7,yfinance
VKSPL,2016-07-15,2.0,heuristic
KTIL,2016-08-11,0.5,heuristic
PNCINFRA,2016-08-12,0.2,heuristic
PFC,2016-08-26,0.5,yfinance
BAJFINANCE,2016-09-08,0.1,yfinance
TRENT,2016-09-12,0.1,yfinance
VKSPL,2016-09-12,0.5,heuristic
HINDPETRO,2016-09-14,0.333333,yfinance
SYMPHONY,2016-09-14,0.5,heuristic
VISESHINFO,2016-09-14,0.5,heuristic
VISESHINFO,2016-09-15,2.0,heuristic
VKSPL,2016-09-15,2.0,heuristic
RECLTD,2016-09-28,0.5,yfinance
FARMAXIND,2016-10-03,0.5,heuristic
FARMAXIND,2016-10-04,2.0,heuristic
KAJARIACER,2016-10-04,0.5,yfinance
VKSPL,2016-10-05,0.5,heuristic
GRASIM,2016-10-06,0.2,yfinance
VKSPL,2016-10-06,2.0,heuristic
