Date,nifty500,nifty50,nifty100,nifty_midcap
2022-11-03,15484.6796875,18052.69921875,18297.400390625,31786.849609375
2022-11-04,15530.8291015625,18117.150390625,18361.44921875,31707.900390625
2022-11-07,15615.1298828125,18202.80078125,18450.150390625,31963.599609375
2022-11-09,15567.2294921875,18157.0,18406.25,31726.30078125
2022-11-10,15439.9794921875,18028.19921875,18267.099609375,31358.650390625
2022-11-11,15649.0791015625,18349.69921875,18573.349609375,31381.69921875
2022-11-14,15650.1796875,18329.150390625,18568.400390625,31399.150390625
2022-11-15,15693.8798828125,18403.400390625,18635.400390625,31403.55078125
2022-11-16,15663.279296875,18409.650390625,18615.5,31197.900390625
2022-11-17,15597.2294921875,18343.900390625,18532.44921875,31072.0
2022-11-18,15550.8291015625,18307.650390625,18483.19921875,30916.69921875
2022-11-21,15453.779296875,18159.94921875,18334.650390625,30901.5
2022-11-22,15509.1796875,18244.19921875,18407.5,31070.0
2022-11-23,15538.1298828125,18267.25,18433.80078125,31150.650390625
2022-11-24,15680.779296875,18484.099609375,18627.25,31289.25
2022-11-25,15727.2294921875,18512.75,18652.05078125,31587.650390625
2022-11-28,15784.4296875,18562.75,18696.75,31818.900390625
2022-11-29,15812.4296875,18618.05078125,18758.349609375,31677.30078125
2022-11-30,15946.1298828125,18758.349609375,18919.55078125,32037.900390625
2022-12-01,16003.9296875,18812.5,18973.05078125,32283.849609375
2022-12-02,15963.4794921875,18696.099609375,18870.25,32566.849609375
2022-12-05,15967.1796875,18701.05078125,18867.650390625,32646.94921875
2022-12-06,15922.8291015625,18642.75,18821.55078125,32495.25
2022-12-07,15861.9794921875,18560.5,18754.0,32308.30078125
2022-12-08,15911.0791015625,18609.349609375,18802.0,32503.94921875
2022-12-09,15812.7294921875,18496.599609375,18687.650390625,32374.5
2022-12-12,15827.9794921875,18497.150390625,18690.80078125,32490.94921875
2022-12-13,15904.4794921875,18608.0,18781.650390625,32667.30078125
2022-12-14,15963.779296875,18660.30078125,18837.25,32863.19921875
2022-12-15,15783.779296875,18414.900390625,18604.44921875,32530.75
2022-12-16,15636.3291015625,18269.0,18446.30078125,32010.099609375
2022-12-19,15755.1796875,18420.44921875,18604.5,32186.849609375
2022-12-20,15726.1796875,18385.30078125,18570.400390625,32117.0
2022-12-21,15527.529296875,18199.099609375,18361.150390625,31610.30078125
2022-12-22,15431.4794921875,18127.349609375,18277.849609375,31336.650390625
2022-12-23,15045.98046875,17806.80078125,17888.05078125,30157.650390625
2022-12-26,,18014.599609375,,
2022-12-27,15418.3291015625,18132.30078125,18263.55078125,31283.75
2022-12-28,15432.779296875,18122.5,18270.94921875,31325.55078125
2022-12-29,15485.1796875,18191.0,18343.599609375,31350.900390625
2022-12-30,15448.8291015625,18105.30078125,18258.75,31509.099609375
2023-01-02,15523.650390625,18197.44921875,18334.30078125,31786.44921875
2023-01-03,15557.7998046875,18232.55078125,18376.5,31860.349609375
2023-01-04,15393.0,18042.94921875,18173.44921875,31503.099609375
2023-01-05,15386.2001953125,17992.150390625,18150.0,31661.5
2023-01-06,15272.0,17859.44921875,18013.94921875,31420.19921875
2023-01-09,15450.099609375,18101.19921875,18248.55078125,31716.650390625
2023-01-10,15325.25,17914.150390625,18081.0,31559.30078125
2023-01-11,15301.349609375,17895.69921875,18054.30078125,31457.19921875
2023-01-12,15279.599609375,17858.19921875,18028.30078125,31360.099609375
2023-01-13,15346.099609375,17956.599609375,18126.25,31328.349609375
2023-01-16,15305.4501953125,17894.849609375,18074.19921875,31253.05078125
2023-01-17,15396.150390625,18053.30078125,18216.400390625,31217.599609375
2023-01-18,15466.349609375,18165.349609375,18307.400390625,31379.30078125
2023-01-19,15419.7001953125,18107.849609375,18244.75,31344.599609375
2023-01-20,15347.900390625,18027.650390625,18169.44921875,31099.80078125
2023-01-23,15403.2001953125,18118.55078125,18249.349609375,31273.80078125
2023-01-24,15388.5498046875,18118.30078125,18245.349609375,31151.849609375
2023-01-25,15171.9501953125,17891.94921875,17974.349609375,30694.30078125
2023-01-27,14874.75,17604.349609375,17594.5,30241.900390625
2023-01-30,14854.2001953125,17648.94921875,17571.849609375,30185.849609375
2023-01-31,14935.5,17662.150390625,17601.0,30676.44921875
2023-02-01,14847.650390625,17616.30078125,17516.150390625,30386.650390625
2023-02-02,14839.400390625,17610.400390625,17490.30078125,30433.0
2023-02-03,14962.349609375,17854.05078125,17687.349609375,30378.099609375
2023-02-06,14934.150390625,17764.599609375,17611.44921875,30670.650390625
2023-02-07,14902.2001953125,17721.5,17569.69921875,30663.80078125
2023-02-08,15028.2998046875,17871.69921875,17719.849609375,30944.0
