top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
15,2,18,200,200,0,0,33,31.42,1.379,1.871,-19.65,1.6,51.6,1653,2.205
15,2,13,250,200,0,0,28,32.05,1.41,1.927,-20.5,1.564,50.5,1732,2.2045
15,4,13,200,150,100,0,28,27.51,1.345,1.975,-16.8,1.637,52.7,1789,2.2028
7,4,18,150,150,0,0,25,31.19,1.299,1.995,-18.39,1.696,50.5,834,2.2026
8,3,23,150,150,50,0,31,29.17,1.271,1.918,-16.89,1.728,49.5,952,2.1959
15,2,18,250,200,100,0,33,26.75,1.243,1.691,-15.15,1.766,47.3,1518,2.195
12,3,23,150,150,100,0,35,27.56,1.297,1.902,-16.31,1.69,53.8,1529,2.1914
12,4,23,150,150,0,0,35,31.21,1.391,2.069,-19.83,1.574,54.9,1451,2.1898
10,2,23,150,200,0,0,33,30.99,1.292,1.846,-18.3,1.694,47.3,1049,2.1882
15,2,13,200,150,50,0,28,29.5,1.414,2.032,-19.07,1.547,51.6,2047,2.1866
12,2,18,200,200,0,0,30,31.4,1.322,1.824,-18.99,1.654,51.6,1224,2.1854
12,4,8,150,150,0,0,20,31.68,1.412,2.1,-20.47,1.548,52.7,1595,2.1853
10,3,23,150,150,0,0,33,31.47,1.376,2.045,-19.84,1.586,50.5,1187,2.1828
15,3,23,250,150,50,0,38,30.55,1.44,2.107,-20.15,1.516,53.8,1693,2.1828
15,4,23,200,150,100,0,38,27.47,1.342,1.972,-16.89,1.626,52.7,1723,2.1821
10,3,18,250,200,0,0,28,31.37,1.292,1.805,-18.59,1.687,48.4,957,2.1799
10,4,8,150,200,0,0,18,32.23,1.312,1.861,-19.41,1.661,47.3,1169,2.1798
10,3,8,250,200,0,0,18,32.38,1.323,1.881,-19.65,1.648,48.4,1049,2.1797
7,2,13,150,200,0,0,20,31.21,1.223,1.786,-17.52,1.781,48.4,756,2.1783
10,4,8,200,200,0,0,18,32.71,1.334,1.904,-20.04,1.632,47.3,1079,2.1771
8,4,8,200,150,0,0,16,32.19,1.357,2.072,-20.06,1.605,50.5,988,2.1767
7,2,18,250,200,0,0,25,31.07,1.224,1.798,-17.5,1.776,47.3,692,2.1741
10,2,23,150,150,100,0,33,28.66,1.323,1.939,-17.47,1.641,51.6,1261,2.1715
10,2,23,200,150,100,0,33,28.6,1.326,1.946,-17.48,1.637,51.6,1203,2.17
7,3,23,200,150,0,0,30,30.31,1.253,1.929,-17.52,1.731,51.6,804,2.169
8,3,18,200,150,50,0,26,28.91,1.268,1.916,-16.91,1.71,51.6,918,2.1682
12,2,23,200,200,0,0,35,31.85,1.347,1.859,-19.84,1.606,50.5,1204,2.1624
